id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,217,3,189,2024-10-25,1.03,3,326,4,
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,238,4,88,2024-01-01,0.55,3,344,1,
12074,Venice home to relax and emotions,15016,Francesca,Isole,Santa Croce,45.4399,12.329,Entire home/apt,136,4,203,2024-06-01,1.14,3,247,2,
27116,Junior Suite with balcony overlooking canal,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,781,1,414,2022-11-11,2.37,3,45,0,IT027042B4RZ8EK8UI
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44696,12.32865,Entire home/apt,420,3,148,2024-10-28,0.89,2,308,20,IT027042B4GR0PSZS4
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43942,12.33254,Hotel room,77,2,404,2024-10-27,2.34,4,338,24,IT027042B4D3D4AUUS
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,289,2,146,2024-09-15,0.92,2,189,1,
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,133,3,127,2024-11-10,0.86,2,276,16,IT027042C2L6NZYNJR
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44453,12.333,Private room,87,1,160,2023-05-06,0.98,2,135,0,IT027042B4JG3TJH56
61714,B&B AL CANAL VENICE blue room canal view air cond,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,98,2,463,2024-11-15,2.76,2,254,45,IT027042C1NT8RRIFS
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43886,12.3499,Entire home/apt,90,3,11,2020-01-03,0.14,1,0,0,
69877,Central room with garden's view,351965,Ca' Turelli,Isole,Dorsoduro,45.43339,12.32486,Private room,126,2,6,2017-05-11,0.04,3,281,0,
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43367,12.33639,Entire home/apt,84,3,201,2024-11-10,1.22,4,319,41,
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.442102837243205,12.326463046383541,Private room,100,1,130,2024-11-24,0.85,2,229,32,IT027042B40Z6IVYGS
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.50793,12.28336,Entire home/apt,75,3,424,2024-11-19,2.56,5,90,41,IT027042B4I8XOSCJH
